id,title,overview,rating,poster
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.66,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg
1316092,"""Wuthering Heights""","Tragedy strikes when Heathcliff falls in love with Catherine Earnshaw, a woman from a wealthy family in 18th-century England.",6.459,/ywRO5dyE8RyyXJd6cvd69jLZeic.jpg
1353333,Mouseboat Massacre,The story follows a young woman battling a drug addiction who suddenly begins to see a mutated mouse human hybrid who infests her life. Those around her begin to drop like flies.,5.673,/ctKqevqOwbeVg5GLQLu5VvnCjan.jpg
1168190,The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart.",6.917,/gbVwHl4YPSq6BcC92TQpe7qUTh6.jpg
1244975,The Orphans,"Gab and Driss, childhood friends on bad terms since they left the orphanage, now have opposite lives - one is a cop with the IGPN, the other a fixer for thugs. When their first love dies in a suspicious accident, her 17-year-old daughter, Leïla, takes Gab's gun and sets off on the trail of a powerful organization willing to do anything to cover the case up. Forced to team up, the orphans must stop her before she crosses a line she can't return from...",6.153,/hP7mjZr2SVfjAorlRHTdV1XZmHY.jpg
1549519,Sex Trip,"On a final trip after college graduation, five friends go on a hiking trip and discover a mystical cave that unleashes forbidden desires within them, igniting a night of uninhibited passion, partner-swapping, and raw sexual exploration leaving them forever changed.",6.833,/sr4sLilBbPx4TfPnX2zzUxlySgu.jpg
1301306,A Woman Scorned,"Jas and her sister Laura are interrupted on their family weekend break in the country side by a group of local men intent on terrorising them. When Laura is attacked and killed by the group, Jas discovers her lifeless body back at the cabin they've hired. She is instilled with grief, rage and fury and intent on hunting down and taking out the gang by whatever means necessary as justice for her sister's murder.",6.346,/dlOSBiNULMPzKIze84LDjvEN9z1.jpg
1327819,Hoppers,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined.",7.903,/d7WizU73PscO3dQor0Ogfx9xy8N.jpg
1159831,The Bride!,A lonely Frankenstein travels to 1930s Chicago to ask groundbreaking scientist Dr. Euphronious to create a companion for him. The two revive a murdered young woman and The Bride is born. But what ensues is beyond what either of them imagined.,8.219,/lV8YHwGkYZsm6EfIqnhaSz2avKt.jpg
434853,Space/Time,"After a fatal test shuts down their project, a disgraced team of scientists enters the criminal underworld to rebuild a forbidden space-bending engine that could rescue humanity or annihilate it entirely.",5.786,/uje1ecKMnNpZp0at5TxlvVgVXqI.jpg
1249508,Grizzly Night,"On August 12, 1967, in Montana's Glacier National Park, the unthinkable happened: that same night, nine miles apart, there were not one—but two—fatal grizzly bear attacks.",6.122,/d3UMQAw5EGRsLEnMfpxorHvbzHg.jpg
223702,Sausage Party,Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,5.75,/vNgdPJQ5CI60oEiiHLKRNrsDhMy.jpg
1253000,Deathstalker,"A powerful swordsman known as Deathstalker recovers a cursed amulet from a corpse-strewn battlefield. Marked by dark magic and hunted by monstrous assassins, he must face the rising evil and break the curse.",6.2,/nEI3DnzQC1afAjJOAizx6UX27pL.jpg
1297842,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",7.5,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",7.728,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg
879945,The Unknown Man,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration.",8.5,/4TpBhdaSl5ALHbgeaYOLF8Q3haz.jpg
1297842,GOAT,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world.",7.5,/wfuqMlaExcoYiUEvKfVpUTt1v4u.jpg
1193501,Whistle,"A misfit group of unwitting high school students stumble upon a cursed object, an ancient Aztec Death Whistle. They discover that blowing the whistle and the terrifying sound it emits will summon their future deaths to hunt them down.",6.05,/bRnTZCjHHMc7cM0HgNkQMB27GYT.jpg
858024,Hamnet,"The powerful story of love and loss that inspired the creation of Shakespeare's timeless masterpiece, Hamlet.",7.727,/vbeyOZm2bvBXcbgPD3v6o94epPX.jpg
24428,The Avengers,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",7.957,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg
1253000,Deathstalker,"A powerful swordsman known as Deathstalker recovers a cursed amulet from a corpse-strewn battlefield. Marked by dark magic and hunted by monstrous assassins, he must face the rising evil and break the curse.",6.2,/nEI3DnzQC1afAjJOAizx6UX27pL.jpg
1305781,Blades of the Guardians: Wind Rises in the Desert,"Dao Ma, the ""second most wanted fugitive,"" is entrusted by his benefactor, the chief of Mo family clan, to take on a mysterious escort mission-escorting the ""most wanted fugitive"" to Chang'an.",7.4,/AbunjMKX4P1sDNlKfhYrWkIoRD9.jpg
1317288,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",7.527,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg
157336,Interstellar,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,8.468,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg
1289893,Somnium,"Gemma moves to LA, hoping to become an actress. She takes an overnight gig at a sleep clinic that promises to make their clients’ dreams come true. But the longer she spends there, the more it becomes clear that something sinister is going on.",5.6,/cPUeMJkPLDWSOA6OU862EdZhylS.jpg
7451,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.98,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
1389149,Accused,"When a celebrated queer doctor in London is accused of sexual misconduct, her life unravels. Now under a storm of suspicion and scrutiny, her marriage fractures and the truth blurs. Her wife must decide whether to walk away, or fight for the woman the world is turning against.",4.932,/eeP55mdqj4KpWtEPBvZJoxmnkXI.jpg
1234731,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",5.843,/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg
1336595,Fürst Seppl,A simple inn in the mountains is transformed into a grand hotel.,0.0,/oP9v0pu4RlC5UGU6ayB3YCDxrJl.jpg
1151993,Fränk,"Following a serious domestic violence incident, 13 year old Paul arrives in an unfamiliar town where in his pursuit of happiness he makes one bad decision after another. His seemingly inevitable downfall is thwarted, however, by a strange disabled man.",7.6,/zkcmXoYpBiDVocovHTaEsIXaD6J.jpg
425274,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",6.531,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg
9276,The Faculty,"When some very creepy things start happening around school, the kids at Herrington High make the chilling discovery that confirms their worst suspicions: their teachers really are from another planet!",6.564,/5XetJwmAiDC0EtH23NIXaqFn3Wl.jpg
991494,The SpongeBob Movie: Search for SquarePants,"Desperate to be a big guy, SpongeBob sets out to prove his bravery to Mr. Krabs by following The Flying Dutchman – a mysterious swashbuckling ghost pirate – on a seafaring adventure that takes him to the deepest depths of the deep sea, where no Sponge has gone before.",6.766,/xJnOMMsFASxNiFnG7v3TNIQ3ife.jpg
39104,Dragon Ball Z: Super Android 13!,"Dr. Gero's Androids #13, #14, and #15 are awakened by the laboratory computers and immediately head to the mall where Goku is shopping. After Goku, Trunks, and Vegeta defeat #14 and #15, #13 absorbs their inner computers and becomes a super being greater than the original three separately were. Now it is up to Goku to stop him.",6.924,/pIwjWaEuCcT3QVBd9Ng9wG3kbpU.jpg
321261,The Lake of Mysteries,A teenager's world is shattered when her mother marries the father of her boyfriend.,0.0,
1601243,Oscar Shaw,"After retiring from the police force, a relentless detective haunted by the tragic loss of his closest friend sets out on a perilous quest for vengeance, seeking redemption and fighting to restore justice to the streets he once swore to protect.",6.625,/tsE3nySukwrfUjouz8vzvKTcXNC.jpg
591488,Porto Santo,"A technical problem aboard a transatlantic flight forces a plane to land in Porto Santo, the small island of Madeira's archipelago where, according to a legend, Christopher Columbus the 15th century navigator, lived for a while and entertained a sexual relationship with a widow and her nubile daughter. A girl photo journalist profits to stay the extra-needed days for repair, to visit the island - and eventually she'll become part of complex relationships among some of the secluded people of the island. Also, a yacht lost in the high seas in 1947 reappears from the misty horizon 50 years later - to unite Fanny and João, a contemporary navigator.",0.0,/oW9rFP9kH1DxCZ4eNz7SqX9UZ27.jpg
223702,Sausage Party,Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.,5.75,/vNgdPJQ5CI60oEiiHLKRNrsDhMy.jpg
1061474,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.355,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg
1233413,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",7.488,/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg
1375831,Diabolic,"A woman's hope for a miracle cure turns into a nightmare when she confronts the vengeful spirit of a cursed witch, determined to claim her as a vessel for her evil power.",7.341,/3qikoc12LQH6upkLZZlJY8wEZvN.jpg
803796,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",8.1,/zT7Lhw3BhJbMkRqm9Zlx2YGMsY0.jpg
1167307,David,"From the songs of his mother’s heart to the whispers of a faithful God, David’s story begins in quiet devotion. When the giant Goliath rises to terrorize a nation, a young shepherd armed with only a sling, a few stones, and unshakable faith steps forward. Pursued by power and driven by purpose, his journey tests the limits of loyalty, love, and courage—culminating in a battle not just for a crown, but for the soul of a kingdom.",8.1,/7lFG1WrCwAxBfyGK8ahlBVzXno7.jpg
1484100,Jesus Land,"Set between 1980s rural Indiana and a Dominican reform school, a white sister and her adopted black brother fight oppression, prejudice, and rigid dogma to survive.",0.0,/f2KKIxryNaN1VJ1p3k62up2ze4A.jpg
155,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",8.527,/qJ2tW6WMUDux911r6m7haRef0WH.jpg
1511417,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",5.953,/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg
84654,Black Orchid,"Caught in a loveless marriage, Dr. John Winnington (Ronald Howard) can't stop himself from falling for his wife's (Mary Laura Wood) younger sister, Christine (Olga Edwardes). But when he suddenly becomes the prime suspect in his wife's tragic murder, John relies on his friend Eric (John Bentley) to clear his name. This classic murder mystery encourages viewers to evaluate all of the clues and guess the killer's identity.",4.444,/als75LctSKUpDeDmROv8dIrusc8.jpg
482600,Japanese Mom,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",6.611,/mCDzIKBPBLLOaFSO7WXCNgrg8f2.jpg
469689,AWOL,"An expert Army sniper armed with his tactical knowledge and deadly skills, goes on a quest to protect his family from the man who masterminded the attempt on his life and his loved ones.",1.0,/3loA03mCxvyFVTNG0PhvekBYVaH.jpg
646542,Coven,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura.,4.944,/uXd25HU5L5zANXva21ykDovrAXU.jpg
513343,Soldier Millions,"A Portuguese soldier, who got stranded from his team during the La Lys battle, struggles by himself through dozens of German offensives so he can guarantee the safety of his companions.",5.3,/9qhnUiUOspdg3TWh7uTB4PZ7ZkF.jpg
232923,Money Mad,"The central figure is an old miser, a Harpagon of sorts, who, like Frosine, stashes his ill-gotten money in a secret cellar. While the miser is at the bank, exchanging stolen notes for gold coin, a couple of thugs witness the transaction and see their opportunity-- It seems avarice grips the hearts of all those who'd possess the bag.",4.8,/dQYVw2aPqgM952bjGEpsSzWVorF.jpg
788274,Brâncuși,"A documentary which follows the most important events of Constantin Brâncuși, a Romanian artist.",8.0,/nudnwVK58pmxTVyzs802N4EtZ9S.jpg
1586841,The Trip 8,"After meeting in Paris, Rosa and Pierre, her French boyfriend, decided to travel to Colombia with the hope of celebrating their wedding and spending their honeymoon. But plans change after introducing the in-laws, who, driven by a bombshell secret, decide to stop the happy marriage at all costs. Amid absurd situations and a dog who, apparently, is the only sane one on the trip, the long-awaited honeymoon will end up turning into a real honeymoon from hell.",8.0,/oP4BuJ4toBC5KLczNy9c38cMgbr.jpg
799130,Redeemed,"After becoming the youngest female, minority judge elevated to the bench in her state, Angela Sylvester quickly finds herself trapped into a 'Kids for Pay' prison scam orchestrated by her boss.",9.7,/8nzm2SW3SP7K8IEAmU6eNJjN4AY.jpg
